hello,hola
goodbye,adios
thank you,gracias
yes,si
no,no
please,por favor
sorry,lo siento
friend,amigo
family,familia
mother,madre
father,padre
brother,hermano
sister,hermana
child,niño
baby,bebé
school,escuela
teacher,profesor
student,estudiante
book,libro
pen,bolígrafo
paper,papel
computer,computadora
phone,teléfono
internet,internet
water,agua
food,comida
bread,pan
rice,arroz
meat,carne
vegetable,verdura
fruit,fruta
house,casa
room,habitación
door,puerta
window,ventana
bed,cama
chair,silla
table,mesa
bathroom,baño
kitchen,cocina
dog,perro
cat,gato
bird,pájaro
fish,pez
tree,árbol
flower,flor
sun,sol
moon,luna
star,estrella
sky,cielo
earth,tierra
sea,mar
river,río
mountain,montaña
happy,feliz
sad,triste
angry,enojado
tired,cansado
sick,enfermo
healthy,saludable
big,grande
small, pequeno
tall,alto
short,bajo
hot,caliente
cold,frío
good,bueno
bad,malo
new,nuevo
old,viejo
young,joven
time,tiempo
hour,hora
minute,minuto
second,segundo
day,día
week,semana
month,mes
year,año
today,hoy
tomorrow,mañana
yesterday,ayer
morning,mañana
afternoon,tarde
evening,noche
night,noche
color,color
red,rojo
blue,azul
green,verde
yellow,amarillo
white,blanco
black,negro
number,número
one,uno
two,dos
three,tres
four,cuatro
five,cinco
zero,cero
